,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,song_popularity,explicit,album_popularity,artist_popularity,like,r&b,pop,rap,hip hop,funk,rock,duration_min
1440,0.68,0.9440000000000001,10,-6.356,0,0.0735,0.18600000000000003,0.000205,0.336,0.8740000000000001,95.368,4,6,0,22,59,0,0,0,0,0,1,1,4.878216666666667
1441,0.6890000000000001,0.83,8,-8.774,1,0.0954,0.539,0.0,0.0882,0.815,140.732,4,15,0,13,59,0,0,0,0,0,1,1,2.8593333333333333
1442,0.33399999999999996,0.0672,7,-19.343,1,0.0358,0.958,0.311,0.121,0.14300000000000002,92.87299999999999,4,1,0,0,31.5,0,0,0,0,0,0,0,9.404883333333334
1443,0.639,0.815,11,-4.962,0,0.252,0.23199999999999998,0.0,0.299,0.4,159.903,4,59,1,65,81,0,0,1,1,0,0,0,4.054666666666667
1444,0.3,0.384,2,-10.742,1,0.0323,0.604,0.0,0.0799,0.275,171.828,3,46,0,60,78,0,0,0,0,0,0,1,11.31845
1445,0.418,0.7659999999999999,7,-6.391,0,0.0802,0.685,1.13e-06,0.127,0.6779999999999999,92.70700000000001,4,0,0,0,18,0,0,0,0,0,0,0,3.302583333333333
1446,0.696,0.583,3,-9.351,0,0.301,0.308,0.0,0.0964,0.524,137.079,4,66,1,77,78.5,0,0,1,1,1,0,0,3.79045
1447,0.596,0.894,0,-5.407,1,0.0265,0.00878,0.00659,0.10400000000000001,0.5720000000000001,132.994,5,62,0,58,61,0,0,1,0,0,0,1,4.339783333333333
1448,0.889,0.385,11,-11.767000000000001,0,0.165,0.0054399999999999995,0.0,0.27399999999999997,0.235,125.995,4,66,1,66,83.5,0,0,1,1,1,0,0,3.37555
1449,0.682,0.502,2,-9.507,1,0.0713,0.0124,8.45e-06,0.107,0.218,108.08,4,60,0,70,64.5,0,0,1,0,0,0,0,3.56725
1450,0.735,0.728,7,-8.374,0,0.306,0.11699999999999999,0.000325,0.0653,0.619,135.845,4,8,1,38,52,0,0,0,0,1,0,0,2.9271333333333334
1451,0.424,0.289,5,-12.062999999999999,1,0.0271,0.0619,0.00044400000000000006,0.10400000000000001,0.335,77.941,3,56,0,55,70,0,0,0,0,0,0,1,4.261333333333333
1452,0.647,0.461,4,-7.284,0,0.254,0.45,0.10400000000000001,0.11599999999999999,0.502,127.995,4,41,1,33,31,0,0,0,0,0,0,0,3.8332
1453,0.8590000000000001,0.233,9,-8.676,1,0.0972,0.644,0.00581,0.11699999999999999,0.386,112.779,4,47,0,62,66,0,0,1,0,0,0,0,7.954666666666666
1454,0.8440000000000001,0.43799999999999994,0,-10.564,1,0.264,0.0017399999999999998,0.00118,0.14400000000000002,0.5479999999999999,119.008,4,43,0,43,51,0,1,1,0,0,0,0,3.0096
1455,0.764,0.601,1,-10.647,0,0.371,0.0946,0.000117,0.879,0.409,94.807,4,38,1,57,73,0,1,0,1,1,0,0,1.99245
1456,0.662,0.425,2,-14.422,0,0.0707,0.134,0.00257,0.132,0.505,134.194,4,32,1,44,83,0,0,1,1,1,0,0,2.0310166666666665
1457,0.66,0.63,11,-9.615,1,0.149,0.0841,5.720000000000001e-05,0.0819,0.591,157.594,4,48,1,65,72,0,0,1,1,1,0,0,8.772883333333333
1458,0.8440000000000001,0.8540000000000001,7,-3.694,0,0.265,0.17,0.0,0.092,0.777,95.081,4,0,1,0,73.5,0,0,1,1,1,0,0,4.600666666666666
1459,0.613,0.627,8,-5.974,1,0.0321,0.732,0.0184,0.13,0.9179999999999999,148.92,4,38,0,36,35,0,0,0,0,0,0,0,2.417116666666667
1460,0.467,0.736,2,-8.612,1,0.131,0.826,0.000155,0.168,0.77,161.653,4,55,0,48,56,0,0,0,0,0,0,0,3.6846666666666668
1461,0.836,0.6459999999999999,6,-4.925,1,0.0386,0.166,5.07e-05,0.10800000000000001,0.6679999999999999,124.01,4,7,0,3,62,0,0,1,0,0,0,1,3.695116666666667
